provincie,jaar,TotaleBevolking,Autochtonen,WesterseAllochtonen,Marokko,VoormaligeNedAntillenEnAruba,Suriname,Turkije,OverigeNietWesterseAllochtonen,GeboorteoverschotRelatief,VerhuismobiliteitRelatief,MigratiesaldoRelatief,BevolkingsgroeiRelatief,Eenpersoonshuishoudens,HuishoudensZonderKinderen,HuishoudensMetKinderen,GemiddeldeHuishoudensgrootte,TotaalAantalBanen,TotDeAOWLeeftijd,VanafDeAOWLeeftijd
Limburg,2005,1136695,80.4,14.5,1.4,0.3,0.3,1,2.1,-0.5,91.6,-2.6,-4.2,31.3,32.6,36,2.27,,,
Limburg,2006,1131938,80.4,14.4,1.5,0.3,0.3,1,2.2,-0.6,91.8,-2.5,-3.7,31.9,32.5,35.5,2.25,,,
Limburg,2007,1127805,80.5,14.3,1.5,0.3,0.3,1,2.2,-0.7,89.9,-1.8,-3.6,32.3,32.7,35,2.24,,112050,1960
Limburg,2008,1123705,80.4,14.3,1.5,0.3,0.3,1.1,2.2,-1,88.7,0.6,-1,32.7,32.9,34.5,2.22,500.9,109310,2160
Limburg,2009,1122604,80.3,14.3,1.5,0.3,0.3,1.1,2.3,-0.6,82.6,2.1,0.1,33.3,32.9,33.9,2.2,490.3,119050,2300
Limburg,2010,1122701,80.2,14.3,1.5,0.3,0.3,1.1,2.4,-1,79.7,2.7,-0.1,33.7,32.8,33.5,2.19,498.4,117350,2240
Limburg,2011,1122627,79.9,14.4,1.5,0.3,0.3,1.1,2.5,-1,81.6,3.1,0.4,34.3,32.6,33.1,2.17,502.6,116320,2430
Limburg,2012,1123075,79.7,14.5,1.5,0.3,0.3,1.1,2.6,-1.7,83,2.6,-1.1,35,32.4,32.6,2.16,491.4,120510,2300
Limburg,2013,1121891,79.5,14.6,1.5,0.4,0.3,1.1,2.7,-1.8,82.7,2.2,-1.7,35.6,32.3,32.1,2.14,482.9,126060,228000
Limburg,2014,1120006,79.3,14.6,1.5,0.4,0.3,1.1,2.8,-1.9,85.2,2.7,-1.8,35.6,32.5,31.9,2.13,486.3,126990,233810
Limburg,2015,1117941,79.1,14.6,1.5,0.4,0.3,1.1,3,-2.8,90.1,,-1.5,36.2,32.3,31.4,2.11,490,125540,238170
Limburg,2016,1116260,78.9,14.6,1.5,0.4,0.3,1.1,3.2,-2.3,94.6,,1.2,36.7,32.3,31,2.1,,57380,239990
Limburg,2017,1117546,78.5,14.7,1.5,0.4,0.3,1.1,3.6,,,,,,,,,,,
